"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency","experiment_type"
"1236","f","true","180","0","mov","null","incongruent","-1"
"1239","f","true","180","0","mov","repetition","incongruent","-1"
"755","j","true","0","180","mov","repetition","incongruent","-1"
"808","j","true","0","0","mov","repetition","congruent","-1"
"1173","j","true","0","0","or","switch","congruent","-1"
"1274","f","false","180","0","or","repetition","incongruent","-1"
"624","f","true","180","180","mov","switch","congruent","-1"
"868","j","true","180","0","or","switch","incongruent","-1"
"721","j","true","0","0","mov","switch","congruent","-1"
"746","f","true","180","180","or","switch","congruent","-1"
"736","j","false","0","180","or","repetition","incongruent","-1"
"727","f","true","180","180","mov","switch","congruent","-1"
"687","j","true","0","180","mov","repetition","incongruent","-1"
"847","f","true","0","180","or","switch","incongruent","-1"
"961","j","true","0","0","or","repetition","congruent","-1"
"627","f","true","180","180","or","repetition","congruent","-1"
"1005","f","true","0","180","or","null","incongruent","0"
"1087","j","false","0","180","or","repetition","incongruent","0"
"1088","j","true","180","0","or","repetition","incongruent","0"
"767","f","true","0","180","or","repetition","incongruent","0"
"779","j","true","0","180","mov","switch","incongruent","0"
"869","f","true","180","180","or","switch","congruent","0"
"651","f","true","180","0","mov","switch","incongruent","0"
"1077","f","true","180","0","mov","repetition","incongruent","0"
"988","j","false","0","180","or","switch","incongruent","0"
"564","j","true","0","0","mov","switch","congruent","0"
"867","j","true","180","0","or","switch","incongruent","0"
"687","j","true","0","180","mov","switch","incongruent","0"
"986","f","true","180","180","or","switch","congruent","0"
"728","j","true","0","180","mov","switch","incongruent","0"
"657","f","true","180","180","mov","repetition","congruent","0"
"646","f","true","180","180","mov","repetition","congruent","0"
"1299","f","false","0","0","or","switch","congruent","0"
"585","j","true","0","0","mov","switch","congruent","0"
"727","f","false","180","0","or","switch","incongruent","0"
"607","f","true","180","180","mov","switch","congruent","0"
"752","f","true","180","0","mov","repetition","incongruent","0"
"988","f","false","180","0","or","switch","incongruent","0"
"598","f","true","180","180","mov","switch","congruent","0"
"1069","j","true","0","0","or","switch","congruent","0"
"1102","j","false","0","180","or","repetition","incongruent","0"
"552","f","true","180","0","mov","switch","incongruent","0"
"931","f","true","180","180","or","switch","congruent","0"
"527","j","true","0","0","mov","switch","congruent","0"
"1042","j","true","180","0","or","switch","incongruent","0"
"724","j","true","0","180","mov","switch","incongruent","0"
"973","j","true","0","0","mov","repetition","congruent","0"
"946","j","true","0","0","or","switch","congruent","0"
"660","f","true","180","180","mov","switch","congruent","0"
"991","j","true","180","0","or","switch","incongruent","0"
"1294","f","true","180","0","mov","switch","incongruent","0"
"876","j","true","0","180","mov","repetition","incongruent","0"
"996","f","true","180","180","or","switch","congruent","0"
"1010","f","true","180","180","mov","switch","congruent","0"
"943","f","true","180","180","or","switch","congruent","0"
"833","j","true","0","0","or","repetition","congruent","0"
"935","f","true","0","180","or","repetition","incongruent","0"
"705","j","true","0","0","mov","switch","congruent","0"
"1338","f","false","0","0","or","switch","congruent","0"
"711","j","true","0","0","mov","switch","congruent","0"
"1031","j","true","0","0","or","switch","congruent","0"
"637","f","true","180","0","mov","switch","incongruent","0"
"925","j","false","180","180","or","switch","congruent","0"
"743","j","true","0","180","mov","switch","incongruent","0"
"624","j","true","0","0","mov","null","congruent","1"
"1010","f","false","0","0","or","switch","congruent","1"
"1191","f","true","180","180","mov","switch","congruent","1"
"681","j","true","0","180","mov","repetition","incongruent","1"
"823","j","true","180","0","or","switch","incongruent","1"
"741","f","true","180","0","mov","switch","incongruent","1"
"1148","f","false","0","0","or","switch","congruent","1"
"823","f","true","180","0","mov","switch","incongruent","1"
"1432","j","true","180","0","or","switch","incongruent","1"
"1330","j","false","180","0","mov","switch","incongruent","1"
"667","j","true","0","180","mov","repetition","incongruent","1"
"1268","j","false","180","180","or","switch","congruent","1"
"663","j","true","0","180","mov","switch","incongruent","1"
"1581","j","false","0","180","or","switch","incongruent","1"
"734","j","false","180","180","mov","switch","congruent","1"
"585","j","true","0","0","mov","repetition","congruent","1"
"1278","j","false","0","180","or","switch","incongruent","1"
"1018","j","false","180","0","mov","switch","incongruent","1"
"520","j","true","0","0","mov","repetition","congruent","1"
"1300","j","true","180","0","or","switch","incongruent","1"
"842","j","true","0","0","mov","switch","congruent","1"
"965","f","true","0","180","or","switch","incongruent","1"
"895","j","true","0","0","or","repetition","congruent","1"
"1028","j","true","0","180","mov","switch","incongruent","1"
"1175","j","false","0","180","or","switch","incongruent","1"
"841","f","true","180","0","mov","switch","incongruent","1"
"1166","j","false","180","180","or","switch","congruent","1"
"1443","f","false","0","0","or","repetition","congruent","1"
"738","f","true","180","180","mov","switch","congruent","1"
"1059","f","true","180","0","mov","repetition","incongruent","1"
"820","j","true","0","180","mov","repetition","incongruent","1"
"1052","j","false","0","180","or","switch","incongruent","1"
"750","f","true","180","180","mov","switch","congruent","1"
"1046","j","true","0","0","or","switch","congruent","1"
"682","f","true","180","180","mov","switch","congruent","1"
"1157","f","true","180","180","or","switch","congruent","1"
"962","j","true","180","0","or","repetition","incongruent","1"
"1411","j","true","180","0","or","repetition","incongruent","1"
"931","f","true","0","180","or","repetition","incongruent","1"
"691","j","true","0","0","mov","switch","congruent","1"
"1048","f","false","0","0","or","switch","congruent","1"
"996","j","false","180","180","or","repetition","congruent","1"
"598","j","true","0","180","mov","switch","incongruent","1"
"1307","j","true","180","0","or","switch","incongruent","1"
"626","j","true","0","0","mov","switch","congruent","1"
"768","f","true","180","180","or","switch","congruent","1"
"617","j","false","180","180","mov","switch","congruent","1"
"1303","j","false","180","180","or","switch","congruent","1"
"747","j","true","0","0","mov","null","incongruent","2"
"1596","f","true","0","0","or","switch","congruent","2"
"1495","j","true","0","0","mov","switch","congruent","2"
"1660","j","true","0","0","or","switch","congruent","2"
"1652","j","false","0","0","or","repetition","incongruent","2"
"1462","j","false","0","0","mov","switch","incongruent","2"
"1393","j","true","0","0","mov","repetition","congruent","2"
"1768","f","false","0","0","mov","repetition","congruent","2"
"1183","j","true","0","0","mov","repetition","congruent","2"
"1676","j","true","0","0","or","switch","congruent","2"
"1035","j","false","0","0","mov","switch","congruent","2"
"1473","f","false","0","0","or","switch","incongruent","2"
"1019","j","false","0","0","mov","switch","incongruent","2"
"1738","f","false","0","0","or","switch","incongruent","2"
"1141","j","false","0","0","mov","switch","congruent","2"
"1280","j","false","0","0","or","switch","congruent","2"
"1129","f","false","0","0","mov","switch","incongruent","2"
"1179","j","true","0","0","mov","repetition","incongruent","2"
"-1","","false","0","0","or","switch","incongruent","2"
"1274","j","true","0","0","mov","switch","incongruent","2"
"1586","j","false","0","0","or","switch","congruent","2"
"1819","j","true","0","0","or","repetition","incongruent","2"
"1483","f","true","0","0","or","repetition","congruent","2"
"1112","j","false","0","0","mov","switch","incongruent","2"
"1571","f","true","0","0","or","switch","congruent","2"
"1548","f","false","0","0","or","repetition","congruent","2"
"1357","j","false","0","0","mov","switch","congruent","2"
"1167","j","false","0","0","mov","repetition","congruent","2"
"1363","j","true","0","0","or","switch","congruent","2"
"1249","j","true","0","0","or","repetition","incongruent","2"
"969","j","false","0","0","mov","switch","incongruent","2"
"1329","f","true","0","0","or","switch","incongruent","2"
"1838","f","true","0","0","mov","switch","congruent","2"
"1020","j","false","0","0","or","switch","incongruent","2"
"1948","j","false","0","0","or","repetition","incongruent","2"
"1584","j","true","0","0","mov","switch","incongruent","2"
"1302","f","false","0","0","or","switch","incongruent","2"
"1449","j","false","0","0","mov","switch","incongruent","2"
"1570","f","false","0","0","or","switch","congruent","2"
"1100","j","false","0","0","mov","switch","congruent","2"
"1237","f","false","0","0","or","switch","congruent","2"
"1488","j","false","0","0","mov","switch","incongruent","2"
"1548","j","false","0","0","or","switch","incongruent","2"
"938","f","false","0","0","mov","switch","congruent","2"
"1011","j","false","0","0","or","switch","congruent","2"
"1893","f","false","0","0","mov","switch","incongruent","2"
"1324","j","true","0","0","mov","repetition","congruent","2"
"1408","f","false","0","0","or","switch","incongruent","2"
